GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
A1BG	135.349581693068	185.313123454921	0	0	270.208275985023	95.8343131045028
A1CF	48.0030237161469	20.2532639702005	61.799655244848	43.070078766537	1	33.4180874220574
A2LD1	49.7612951050354	43.4561695982519	91.7025288712527	66.7516640750238	1	21.6776262831986
A2MP1	1	14.2129732843244	24.0289055969076	18.726807868459	1	14.6295792742375
A4GNT	1	39.0713644275934	1	22.9824782996964	1206.73866231682	16.8506009633012
AA06	1	31.0970756101762	1	12.5716116289385	1	14.5141090501291
AAA1	154.786769162932	0	0	0	0	67.1519759298806
AACS	1	111.302364262454	1	101.39540026146	1638.41716083708	24.191849863026
AACSP1	1	56.9912018209074	1	27.7746605262188	1081.75120780026	10.4064446735357
AADACL2	88.9540134715282	1	1	12.0628380295727	1	15.4732864212222
AADACL3	60.5264124637405	13.8426379177155	32.9412433280935	1	478.272666313432	31.4675953423751
AADACL4	0	42.718554728265	90.7620562128617	8.11986704671173	3406.30995890964	14.9827017394473
AAGAB	6624.12951616136	0	0	0	0	626.910145863267
AAK1	264.375733151134	184.092233336569	404.861381108852	179.377857456044	1	164.00784412018
AAMP	1	250.537709748862	697.069055018648	313.461145919578	1	175.29265112677
AARS	1	153.988489340412	229.03644777525	156.392398310561	1	83.951526163308
AARSD1	1	150.708330202572	202.603653200538	158.993285978152	1224.29546206706	26.4816840534831
AATF	647.161219282161	117.963033547018	1837.87322411935	710.827993241628	1	478.39527846462
AATK	1	1	1542.75738902863	672.641452454376	1	1280.48236970388
ABCA1	323.036388270953	503.043195871571	1	1167.662426451	1	1
ABCA11P	139.994157731361	53.2789462511098	1	23.0895319821322	1411.61917684897	23.4014063576304
ABCA13	222.580086476282	4.36132189071948	0	122.346215564254	449.855646843409	43.737716731385
ABCA17P	1	20.6575228470611	23.2280678774911	15.6319282562015	278.662976523933	9.95602561813195
ABCA6	1	47.740369072654	1	34.7700375903559	1	6.67167464815819
ABCA7	1561.46935124999	1	3355.72038174897	1	1	676.750148298128
ABCB1	1	72.5787527878878	1	51.4119405335131	831.247928618395	9.4973498248944
ABCB10	91.5273080938967	53.0530636638025	1	69.4804720612014	1	38.7837532643195
ABCB5	29.7364053356207	28.3667485424676	27.9486138350709	40.000423491246	1	11.4865892764036
ABCB7	434.405346022802	75.9108233480938	199.819772617961	177.441608203836	8295.1223551974	96.6425519650333
ABCB8	38.9070874254015	58.0941071729905	87.5298342246289	83.2206237826274	351.004048444616	29.9299800335981
ABCB9	26.6864305173042	27.564934544147	29.4389393182753	11.5961656699039	1	28.4545807554884
ABCC10	808.271477862867	272.287666729722	1	1	1	145.477073062346
ABCC11	36.3816828783933	38.2787940091472	0	18.8981797618011	0	11.6287660181382
ABCC13	516.094950540318	177.221881379345	0	245.046103901	0	33.8753641892001
ABCC2	186.876150138612	113.032799450505	1	80.6770442924641	863.191564056593	103.264387577382
ABCC3	354.850298247402	43.9769641824439	1	299.993237305285	1	99.4483693711225
ABCC5	0	0	0	7117.05777062926	0	0
ABCC6	122.380505693877	91.7256549326571	1	104.38208399596	3967.8724393059	47.7540147047727
ABCC6P1	1	47.4645751894517	1	46.5738763233761	1	20.8018074380955
ABCD1	70.7786205741031	1	262.473695868651	188.58051438218	878.224239385482	71.2192469209618
ABCD3	42.8512641947232	26.1169222609199	50.1700066376005	47.1489844097873	1	12.1430074774304
ABCE1	89.4987682191587	49.9011026546276	1	56.9326239213385	1	46.6653966760074
ABCF1	1348.92882404437	355.441612047458	510.141489859725	244.219906775977	7975.92836352701	212.247236446636
ABCF3	986.36208623407	791.699228890328	1389.9518655875	1079.09442959899	1	472.125014416989
