GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
ACACA	0.000696389124971248	2.40246821143019e-18	0.0193438600005939	3.28374404849456e-12	1	9.53348247308241e-28
ACACB	1	0.0454304509217001	0.114623164359438	1	1.21709864853886e-06	0.293710543731124
ACAD11	3.74144339237883e-07	1.77661475059877e-07	2.44591398544868e-05	2.81689659976387e-11	4.64919381699636e-05	0.000590931913065394
ACAD8	1	1.08739949300688e-08	0.00314146470178558	7.6800873942357e-07	4.56370084742861e-20	1.03427111047265e-06
ACAD9	0.519262857362025	0.0416340924696744	1	0.0781431134747645	1	1
ACADM	3.38002285673607e-22	0.0119496959405741	0.0186984598478696	3.18937110743145e-12	1	6.48486086413938e-10
ACADS	0.0350807871870656	0.000171672238083491	1.19890269022611e-05	1.22645458358638e-12	0.590095044216298	1.11953655192979e-05
ACADSB	0.129382359921883	5.38804348515736e-27	4.34498800169612e-11	5.46296270730359e-10	1	1.73369446765291e-25
ACAP1	1	1	7.41187656168332e-11	2.49550335941482e-09	1	1.71431762893625e-27
ACAP2	0.789812250130291	1	4.7235795476836e-06	7.82455462253979e-06	0.529460682433973	1.23366472418886e-60
ACAT1	0.265009399780093	1.82005193858226e-09	0.05880283168156	2.12671863033137e-19	1	5.27333522151072e-14
ACBD3	0.0255444327961355	0.0722870255962154	0.387722529516437	0.0267876531022804	3.75920805966262e-09	0.129916615279833
ACBD4	9.25918813530853e-10	0.000406641406451765	1	1	1	0.0361736948574418
ACBD5	4.36945617436039e-05	6.14128645458161e-09	0.000793224394921023	1.24574413260012e-09	0.202723390261544	7.1722777936656e-57
ACBD7	2.96930058805514e-06	5.22427351903006e-11	1	0.0161172885338579	0.929867572461448	1.13555798251627e-07
ACCN1	6.65995688664719e-06	0.00451410691592041	0.701497616922971	1	1	9.18382813242673e-18
ACCN3	1	9.30604610528616e-07	1	0.0749278086829811	1.29706860783682e-08	1
ACCN4	1.26979975686953e-07	0.000896014531577465	1	1	1	0.0215883254068645
ACCN5	0.663845928396111	8.72719745228065e-17	0.654991460625631	0.00155701198710895	0.0139287034312884	7.32690288766676e-36
ACCSL	0.181308825033841	0.0396491499298258	1	0.299630874782132	0.804153524255244	0.000166561580774105
ACIN1	0.362638602710542	0.00099019328303039	0.000451919572585155	0.448247185746405	1	2.28667788518726e-30
ACMSD	1	0.668181989708016	0.67353468095411	1	1	1
ACN9	1	1	0.000142848971416966	4.98358787916065e-09	0.547327148629892	1.05458063071741e-51
ACOT12	6.11824839587493e-06	0.0768390084089667	1	1	1	0.0719626440866354
ACOT13	0.205452629711281	2.64871431778189e-09	1	0.000153482043919029	1.8987626012878e-30	0.00053300695623792
ACOT4	0.000747147745195582	2.16588262046643e-05	0.266839490798103	0.00534255635525907	1.7280548051835e-82	0.831656707152569
ACOT6	0.146440459805109	0.036531100644513	1	0.00343151527143012	1	0.217994986976383
ACOT7	1.0546166829253e-06	3.86034781632424e-23	0.850580004927308	1.4740019850934e-09	1	3.17290183022349e-13
ACOT9	1	2.43780108164695e-06	3.51169839789742e-10	5.56105598710651e-07	0.116129817919281	2.05040408741439e-66
ACOX2	1	0.00255416547039821	1.08558549734323e-07	9.05593929971531e-29	0.013822929214395	5.93770133820695e-18
ACOX3	1	2.03991212024063e-12	0.00579093416421234	8.55056773683793e-12	0.0445003508000973	0.000203151784107852
ACOXL	3.44891044749892e-09	0.000459905692879757	1.89404748313329e-05	0.0485351700412236	4.89887241420206e-17	1.1393165479421e-13
ACP1	3.29364661948867e-05	1.80517193062015e-31	3.0383483010174e-05	1.57732709944719e-08	1	1
ACP2	0.0122098338224252	5.9452870096191e-06	9.09685502132787e-05	8.14372028415795e-20	0.992378654609624	2.29438948479439e-21
ACP6	0.0307602510782716	0.285901805379726	6.19590910990961e-08	2.72875295931402e-05	1	8.15321959132767e-20
ACPL2	0.898374255970589	5.92723935491382e-13	0.902225497772077	0.0307680679949118	1	5.02919702512956e-24
ACPP	0.530966245896486	0.0249266197905211	0.0128868385246513	2.32638006893623e-14	0.498467506524969	4.82357537439042e-17
ACR	0.00096313839421009	7.15663969476557e-06	1	0.176453095058075	1	1.07115755422366e-09
ACRBP	2.38044214918294e-07	7.54540558034609e-07	1	0.0184810330136383	1	1.2977238609261e-13
ACRV1	1	2.16889820788548e-09	1	0.296963539486582	0.230903520930587	1
ACSBG2	1	1.00856645412494e-15	1	0.299922523145793	6.74333050163411e-06	1.85714387333439e-16
ACSF3	2.23089149939621e-06	3.20464112356425e-20	1.69206603939264e-13	1.71474063447499e-09	1	1.94491171703273e-75
ACSL1	1	1	1.11605709965839e-10	0.163008656679763	1	1.87836097970005e-42
ACSL3	1	0.0491133046874903	9.00389287929902e-10	4.738727507013e-11	1	2.23508843754871e-42
ACSM4	1	3.39230824432315e-08	0.423571500731656	0.000129953132704584	0.957182752401389	1
ACSM5	0.000235370487449276	6.76886257091493e-09	1	0.723173542345267	1	4.90521362981282e-05
ACSS1	0.000317433521274809	3.23364501004471e-36	1.56116426797269e-20	2.7733564431569e-14	1	5.77543401744118e-14
ACSS3	0.00883282287079674	0.000941080117873968	0.0405282264052586	0.00893842356948445	1	4.60292358331807e-15
ACTA2	0.0684941301216397	0.0484056042580799	1.36600707296644e-05	1.17645274637979e-14	1	3.6173429108595e-26
ACTB	0.0655196117531371	0.00189945402271139	5.01482684514234e-06	4.7129167139556e-40	1	1.67214066313745e-27
ACTG2	0.143013316328745	6.37471621942618e-17	0.000159712229541744	3.21780468393712e-06	0.347833425986948	4.50489962872292e-19
ACTL6B	0.73219097798779	3.30192187607775e-06	1	0.980857279918849	0.740380609771373	0.803755451592476
ACTL7A	8.85696195975897e-06	5.23266908712368e-05	1	1	1	1.2302145158363e-07
ACTL8	0.000303302777129262	3.20308787875422e-11	0.914240041125722	0.390458526588508	0.212600741862325	3.68906729420352e-23
ACTL9	1	1.35202045916921e-18	1	0.0030581309602492	3.98022065534538e-10	8.20514207381613e-08
ACTN1	1	1	2.97110088005262e-07	5.85019768461234e-08	1	1.41919179449154e-68
ACTR10	0.959637849139822	0.315958583007768	1.95632727750776e-09	2.44545491342529e-13	0.0250969821484243	2.51285401674571e-41
ACTR2	0.958228876172437	0.81240244823415	0.000728285800427968	3.32431286280307e-19	0.894377190770436	1.35147951556809e-70
ACTR3C	4.90728116980777e-05	2.85251068401697e-15	1.09211643020985e-06	7.14124344906544e-06	1	1.00405897615554e-38
ACTR5	8.2367680254183e-05	5.85311247919078e-05	1	1	1	0.000232416030920068
ACTR6	2.89912130537186e-07	1.939054793392e-07	0.000618207441364464	2.48079496849342e-12	0.358313843791958	3.70785016090397e-09
ACTR8	1	2.10409343662986e-06	1	0.0319035668890078	3.15356461467853e-14	1
ACTRT2	0.0129871969826099	1.72078899845563e-15	0.138183579019612	1	0.403135308894685	6.82354356029412e-24
ACVR1	0.0245329727895951	0.00136068699173211	4.10809583821264e-06	1.09284739200125e-23	1	1.97165037895353e-23
ACVR1C	0.0187058232016745	4.51575417889525e-35	3.94934801065468e-09	0.000798457011957894	0.676795391912495	2.26130536137779e-23
ACVR2A	4.806619915089e-08	0.000121434513508589	2.42195512950323e-07	0.0155493123480943	0.340365632323759	9.23446996272575e-08
ACY1	0.910698135700329	6.81319655724321e-19	5.88512150122973e-09	1.86099626570894e-13	0.0427857385998462	4.92969060596765e-11
ACYP1	4.50615405577312e-12	2.37709605191139e-22	0.00363828519878111	1.47976812029798e-08	0.315097696428777	0.287230307856962
ADA	0.458010493029594	4.48207430363517e-21	0.00270792518373198	0.311910676608201	1	0.0559813929339164
ADAD1	0.477240029042439	0.331537112932733	1	1	1	0.366635144822083
ADAL	0.662254764985415	1	1	0.491226379895177	1	1
ADAM1	0.0736529413454782	7.41685171935133e-19	0.000142545513940501	1.79045635903463e-09	1	1.98781196447083e-10
ADAM10	0.0256885409347374	1	0.0249662394856323	0.00119374615005817	0.632694909793594	1.44871628155217e-78
ADAM11	0.563133484302062	0.000624017855291335	0.990565953080988	0.00947106598750533	1	0.0243681889199055
ADAM12	1	1.40342170955881e-08	1	0.4551757835287	0.00945116181521032	1
ADAM17	1.90759875785013e-07	0.0700629828273758	1	1	1	9.68422032606165e-14
ADAM18	0.00775145779015182	9.69463681394142e-21	0.100428059601432	1.80463591605123e-07	0.0059466787036059	9.65642436082714e-37
ADAM20	1	1.57528890983758e-07	0.734140347623201	0.00661775874568787	1.25287329109885e-05	0.99099087561916
ADAM23	0.646771503399468	0.872717145746336	1	1	1	0.533498941898127
ADAM29	0.000322707011200721	0.00266662572071976	0.0896570660700979	1	0.866332959178682	5.65746380923934e-06
ADAM30	0.0417214927936205	0.000480457051989654	0.839521707385289	0.00435472174362549	0.0551480252940417	1
ADAM32	0.063282071616386	0.194367971488961	0.57481062060231	0.854354066079199	1	0.00990376969001954
ADAM33	2.20334641561979e-09	8.21584739110657e-05	1	1	1	1.29655710169291e-09
ADAM3A	1	5.20769526572241e-09	0.202134712640901	3.67184601755206e-06	0.132696649431844	0.313720236582073
ADAM6	0.0250935092559477	0.280841816484405	0.851132850060409	0.00590294908204955	0.163642565763749	0.0997110110149585
ADAM7	1	1	1	1	1	0.417794970966108
ADAMDEC1	1	6.75767070030789e-07	0.0180489595384503	2.46051217963529e-05	0.211791197251925	8.93496233575334e-23
ADAMTS1	0.60517706499187	1.39842401745158e-14	0.98814219912018	0.000171149827103361	3.63420921953665e-12	0.779250114302235
ADAMTS12	0.000294375320736269	7.85252186284959e-22	0.047694944266704	1.52867967219213e-05	1	1.95163111494908e-13
ADAMTS13	0.0188223759925073	0.0410173947837557	0.234217385177992	0.00862633922509614	2.03515159716512e-26	1
ADAMTS14	0.179053302045243	0.000562864578056248	1	0.00495286220856962	1	0.000135989459122794
ADAMTS15	1	1.18004118431676e-09	1	1	0.64711601359882	0.000658133067518406
ADAMTS16	0.421930676290603	2.39513329476627e-30	0.000595517072440457	2.93182930317707e-08	0.113732612809065	0.126283024822808
ADAMTS17	1	3.98274826550714e-08	1	0.103143931507503	0.157347053045378	2.26184827437024e-06
ADAMTS18	0.513113280319124	8.0560576924849e-06	0.00108898286557012	0.605639878008864	0.000279964032728339	3.75906859908968e-36
ADAMTS19	2.71046805357945e-05	0.0251981835113525	1	1	0.0826262558922847	9.62551253336967e-07
ADAMTS20	0.0846929645152349	5.90132883702038e-07	0.0667499040599811	0.00549778054956964	1	4.12949286019271e-29
ADAMTS4	1	4.95569681773511e-35	0.284546998156007	1.53786768414301e-05	0.0119156271573882	6.04309758419479e-10
ADAMTS5	0.102308583309398	3.82058047148178e-14	0.159434738429075	0.146971286027113	1	2.39482967172676e-32
ADAMTS6	1	4.85567547353993e-53	0.150471569923181	0.0228758788362687	0.0239943165433134	6.20397726386463e-15
ADAMTS7	2.12312711474657e-09	8.68726166046699e-11	1	0.830350711021304	1	8.04724091838145e-36
ADAMTS8	0.00384284597877281	2.98368594139277e-09	4.19534157765878e-05	1.05923163684288e-05	1	2.48924422077419e-15
ADAMTS9	0.0288629109409018	6.3635271279222e-06	0.019660884863686	0.000637314347345483	1	5.73023327501951e-25
ADAMTS9.AS1	0.0299807998659045	2.95026795892715e-06	0.014829845895189	0.00437162149253023	0.00177728223820754	3.18487376912394e-17
ADAMTS9.AS2	0.0551574049271255	0.00347230527004597	0.759740835760215	0.777430212048951	1	9.27262147116419e-37
ADAMTSL1	1	1.89270351843507e-17	0.115297190987448	0.000201401717542057	3.36891908967596e-05	2.29499612154442e-06
ADAMTSL3	3.64651528606802e-13	1.12108485175839e-11	0.0358719325298976	0.203208313149331	0.618573491441465	2.28879857470914e-11
ADAMTSL5	8.47387218409334e-08	4.01675651685079e-16	1	1	1	0.000135630815227715
ADAP2	1	0.094612989807324	0.704594523267855	1.80959397934047e-13	1	1.42323017905787e-39
ADARB1	1	4.44612863743242e-36	0.00986986288453482	4.10460911925834e-07	0.315859297790808	0.000655342812379477
ADARB2	0.0150258085423662	0.00308311076014801	0.89457193489589	1	1	7.79090970615819e-18
ADC	0.00425954894859506	1.29210046496473e-33	0.288762688136315	0.034503440951713	0.279775345659272	1.14672134856132e-25
ADCK2	0.0591881606453799	0.00308430686490457	4.60540312537628e-14	3.95031634661647e-10	1	5.26951846367609e-18
ADCK3	0.00979794561693723	9.39879044664156e-12	1	1	1	3.6770790986014e-18
ADCY1	1	0.0124348995906172	1	0.102606284569601	0.0598399163681357	1
ADCY10	1	4.39974681902995e-09	0.777982971233527	0.00656123312013654	5.41457313013455e-11	7.88725622355911e-21
ADCY3	0.000264949462386291	1	1	9.65082371541377e-10	0.00949711890756087	2.66743062796499e-20
ADCY4	1	0.00571537279600805	5.50445095643963e-10	0.0401103740551409	0.00115907283418748	6.8476984666115e-21
ADD1	1	5.72342598111189e-08	0.00010382234060358	1.42161735277975e-12	2.26877428044516e-12	8.63496536912863e-11
ADD2	0.984751438603129	0.193496822274627	0.544421314718532	0.572841988287341	0.00312374300277964	0.00222426660981335
ADD3	1	0.00644042732719496	2.13378275924492e-08	3.44816689858606e-19	0.0491912423678498	4.59371106067691e-43
ADH1C	0.305120383811844	3.36179314389739e-06	1	1	0.456575700495312	5.24725596948613e-13
ADH4	0.330362072957071	0.000309233199821755	0.0607922495328857	0.0252793813999398	1	1.50061070099782e-22
ADH5	0.467772851661411	3.26575735490917e-14	0.000284704932366205	4.29779656406454e-14	0.120537823373658	2.31179971626564e-19
ADH6	0.014588446228988	8.45829614301041e-16	0.00115059593968017	1.32543691508391e-08	2.03425109072316e-16	2.6183998103291e-28
ADH7	1	2.23069209270688e-07	1	0.127221289071177	0.00114541567504627	1
ADHFE1	0.0377783466193699	6.96738856887919e-18	7.27338387130016e-19	1.27915415583928e-11	1	3.65229884858461e-35
ADIPOR1	1.04142786473987e-11	5.22471172789303e-06	1	5.58799290798936e-10	1	2.56550067654943e-07
ADM2	0.000736747175995274	0.000347407510733899	0.000729361570046522	9.15875400675999e-13	1	8.73804442879326e-29
ADNP	1.23179181064054e-05	4.75075285497226e-30	1	1	1	1.0504169170045e-31
ADO	9.84292527749868e-09	0.000153611968424351	0.202832290570375	8.0870743510715e-07	0.630319811294817	0.014225769952895
ADORA2A	0.823142998864763	1.77982384420877e-10	4.65166524051654e-05	1.23076211247259e-09	1	1.24091993047417e-25
ADORA2B	0.539965676405259	0.0483706578169988	0.0271768611309019	1.04903984177322e-23	0.344931249824294	6.53821584013166e-27
ADORA3	0.00882944437051824	1	0.000409037537638877	4.00539531404592e-08	1	2.32216129891588e-12
ADPRH	1	0.00269665465213245	0.46971430555053	5.03156178069305e-06	0.282586480402076	0.0957200664860966
