GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
ABCA11P	1.69758143720103e-07	8.28010031708725e-10	0.953516670802276	0.183533476057474	1.19036786002458e-08	2.93587366855673e-06
ABCA13	0.00278541849599908	0.948127975823129	1	0.00447042646485059	1	0.00128020040813114
ABCA17P	0.261185968464925	3.02342747260249e-13	0.0296050611706686	0.00245442010674348	0.00124277210499403	9.42873746067555e-10
ABCA6	1	2.78942542044374e-21	0.912384234823065	0.000104687906205641	0.455641017505033	0.022112335754068
ABCA7	2.50139771172229e-05	0.919093748314565	2.47245305838234e-16	0.838687593121253	1	3.22243288631082e-22
ABCB1	1	2.50290840844506e-13	1	0.00460948249637399	0.00799761134661082	0.108997741317797
ABCB10	1.78116869235445e-06	2.43532658257035e-17	1	3.26286421307479e-10	1	2.41039159745214e-26
ABCB5	0.0376763855217687	5.5030240753156e-11	0.108017183653531	2.25563885498473e-07	1	4.03429086514522e-06
ABCB7	2.11042979848906e-06	0.0108259304610879	0.0898914592581283	0.00100257891705879	1.74666309598095e-23	1.53602871316989e-08
ABCB8	0.0269038287383631	2.82517464639375e-26	2.29374729022493e-06	4.31580535164803e-18	0.058104061447807	1.29403408835358e-21
ABCB9	0.00385230215545123	6.99522068209984e-21	0.0052971949836205	0.0333553768134812	1	4.94108783106213e-57
ABCC10	1.08931389330176e-05	3.99562224131605e-06	1	1	1	2.0850545139365e-05
ABCC11	0.660283729014266	0.0143656975955834	1	0.645484324659436	1	0.223387378512398
ABCC13	0.000162804163678277	4.92835127115953e-05	1	0.00221327782100146	1	0.206768897642326
ABCC2	2.12429126516665e-05	2.2330038581697e-15	1	0.00179804138727466	0.0870931219256124	1.91292271285469e-34
ABCC3	8.52301067520084e-09	0.0300393981748528	1	6.20944737349389e-17	1	1.51001913509519e-17
ABCC5	1	1	1	0.0280950015377113	1	1
ABCC6	0.00136695601880987	4.58558821351915e-14	0.89912312831462	1.44484224242446e-06	2.90615372397565e-31	8.30710184107156e-12
ABCC6P1	1	1.0216543343334e-06	0.5912255389084	0.00977106485120526	1	0.000221718686207795
