GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
A1BG	0.251207502705383	0.095635325522659	0	2.11620077094861	23.371384677993	0.0740400800756242
A1CF	0.147695736193912	0.115620189168437	0.103911489464284	0.0921678000256308	4.85554001141865	0.0395495343431077
A2LD1	0.339884422280037	0.127559201590485	0.202987454179471	0.163753256310781	5.38266839427719	0.195613537929778
A2MP1	0.0648339353137754	0.075351483039655	0.134124613212142	0.128142263904011	2.33173116559691	0.0458060609179588
A4GNT	2.12770173373992	0.0558510972405781	0.894040938145278	0.264117911205293	0.402259670443076	0.114372569924909
AA06	1.12741093140461	0.0939624058284028	0.663003797844501	0.270064455615159	2.22110243576505	0.0611779065410064
AAA1	4.65830996741003	2.0763620123042	1.75885246429835	0.077390056891448	2.11570116464926	0.773688858056025
AACS	2.31347427513089	0.105150458629352	2.73684987500733	0.0722303500616531	0.453769124849977	0.197449688230434
AACSP1	0	0.0901403903575295	0.0495936531248789	0.186237019283708	5.16271403658854	0.19214429469867
AADACL2	1.00046321846574	1.44110143596589	1.15894419224273	0.172047582404654	9.83833105137792	0.0546398739814431
AADACL3	0.269188952997941	0.682934127087979	0.473800091664968	1.05996899195284	72.1498488898726	0.0978106916586389
AADACL4	5.76641941505949	0.563348712450128	2.61616992198825	3.04797278836192	3.91858105335402	0.454509788239678
AAGAB	0.638803317659905	30.2482876709761	4.79306176211809	4.22296052087452	0	0.366333708549653
AAK1	0.172157837598278	0.0720465234552837	0.0837679418284547	0.103200843269289	2.09064521715437	0.0455027110849093
AAMP	2.11805248077073	0.21552665313566	0.0712985728810682	0.0802787301386989	0	0.0745651255874568
AARS	0.281009202606015	0.0867828400773478	0.203134953953232	0.137759660775737	4.90269692975134	0.0724418392589252
AARSD1	0.606118381966011	0.0447845860812279	0.0888432517331983	0.0651490353992309	0.557012852008918	0.115002768561508
AATF	0.178892230844165	0.212911398244414	0.0500221259462103	0.0534803778854721	0	0.0361733533881403
AATK	0	0	0.116921638562672	0.140230593716676	0	0.0207278293880876
ABCA1	0.258367837916157	109.902132336438	134.596146935135	3.0457440745471	98.5794899410855	46.5748084982476
ABCA11P	0.407272786558187	0.15114841666775	2.30030252583615	0.451671762903995	355.635433828609	0.208622383760476
ABCA13	0.194870481066596	1.6295652628595	1.01345901391038	0.148106390521414	24.1249396493064	0.158539215295125
ABCA17P	2.05707570102156	0.0666907013254899	0.383032356360107	0.226669246741093	2.80348754119552	0.116741529626009
ABCA6	0	0.105150453349475	2.75041159588094	0.130722995847695	17.7956479341485	0.247570712456342
ABCA7	3.40850091167102	8.42469377623092	0.0909585300740392	3.2348699572289	458.007701094602	0.113424373551333
ABCB1	0	0.0963397504368319	1.89275698155736	0.192018470943917	6.34778211905735	0.331445104096288
ABCB10	0.121133951287453	0.0628150870342989	0.0689713912312748	0.0817423288880214	0	0.0599378008702707
ABCB5	0.216484825515941	0.10709156322826	0.356230199901103	0.116389456575445	10.0260604534566	0.188607612008001
ABCB7	0.659494289497149	0.394024173588623	0.280301008247118	0.128376325050732	34.796290659314	0.198115869940744
ABCB8	0.235085723469559	0.0727393836415859	0.119589967612706	0.0635835687800569	3.07981520285743	0.0658628493087154
ABCB9	0.246639891194126	0.0767163551623678	0.213050865803218	0.257920791638798	2.59943969814318	0.0440917425198764
ABCC10	0.089295373414146	0.103723176236541	0	0	8.66245396643051	0.110398187118382
ABCC11	0.337748698034574	0.207537167729678	1.33414366718047	2.03501231740909	10.0637944677595	0.130028635818309
ABCC13	0.165106034475192	0.162813161759541	0	0.107142587471056	9.93296586566857	0.711820794034016
ABCC2	0.231006965296968	0.08203902510623	0	0.168972189732654	2.41369369335146	0.0512279533504115
ABCC3	0.146179176796833	0.195574777080403	0.688741740825967	0.0533052182523608	108.297983095986	0.0748126447634571
ABCC5	4.42189096165745	0.573880689839938	10.6826548503963	17.2324178714991	0	5.45828879669421
ABCC6	1.9100102236414	0.0836169288064719	3.05385378439412	0.0975197809716242	0.675898479309444	0.112415735317319
ABCC6P1	2.84516334219378	0.126914719471808	2.66713871115958	0.320094386074635	10.2655272508018	0.199942269989315
ABCD1	0.350308905129948	0.708976722654723	0.0515009122907141	0.0540350917824317	51.6695808589229	0.0514019180632907
ABCD3	0.227149723077966	0.12417828695022	0.198336279897103	0.154629894063622	6.34980453216928	0.187731651935428
ABCE1	0.309882381051264	0.130878607356414	0.493880713914875	0.1374921049234	73.1954153392088	0.0816370891610627
ABCF1	0.1754847239478	0.0857273353574056	0.1601008886973	0.138179361911419	382.128375936651	0.108758212317659
ABCF3	0.168506040443296	0.0445425951028832	0.0809394867638318	0.0391371222384221	216.850983782078	0.0483598804461257
ABCG1	0.250622904054568	0.563203694155774	0.0710726408685209	0.779265382798118	4.81691479193502	0.0486880570757889
ABCG4	3.9804526527269	0.278561479518535	2.24082598336337	0.238591208698663	3.98496627699133	1.11575515795859
ABCG8	1.38668838537735	0.100675576619396	0.792316973397672	0.158745470942353	15.3326672672	0.0488949978331502
ABHD11	0.219790203706042	0.0735685301895164	0.052461667964788	0.0469258675564049	9.07760503939854	0.0340846901685308
ABHD11.AS1	0.326363315310207	0.0889717157245558	0.285116160924876	0.145125877617858	0.455867100685859	0.106317887953289
ABHD12B	0.337554312766806	0.181560818388998	0.230587536600278	0.390263211679442	7.31680144685056	0.103085226355724
ABHD13	0.363541423865502	0.275895416350403	1.04845737430515	0.112246908157691	1.17984195186337	0.0678502579489998
ABHD14B	0.15711337053299	0.0994780822065622	0.0729325065842666	0.112475758642221	0	0.106565862167513
