GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
ABCC6	NA	91.7256549326571	NA	104.38208399596	3967.8724393059	47.7540147047727
ABCC6P1	NA	47.4645751894517	NA	NA	NA	20.8018074380955
ABCD1	70.7786205741031	NA	262.473695868651	188.58051438218	NA	71.2192469209618
ABCD3	42.8512641947232	26.1169222609199	50.1700066376005	47.1489844097873	NA	12.1430074774304
ABCE1	89.4987682191587	49.9011026546276	NA	56.9326239213385	NA	46.6653966760074
ABCF1	1348.92882404437	355.441612047458	510.141489859725	244.219906775977	NA	212.247236446636
ABCF3	986.36208623407	791.699228890328	1389.9518655875	1079.09442959899	NA	472.125014416989
ABCG1	183.607448652084	NA	872.925012415356	NA	NA	189.813719951447
ABCG4	NA	NA	NA	77.4386719868689	NA	NA
ABCG8	NA	30.7967267743548	NA	24.6535982243954	NA	23.9321068349733
ABHD11	104.315380510665	64.4093480878068	278.932809228263	141.545834299847	NA	104.978463455234
ABHD11.AS1	57.1867480051895	80.3947813220555	1	82.9866879842027	543.962609300315	40.0247752600175
ABHD12B	57.0220222447938	12.8043767436395	26.7478008876933	NA	NA	13.5572317258494
ABHD13	22.9583473969072	NA	NA	27.0057044215798	1	21.5430145471301
ABHD14B	270.445744221679	167.96870759454	449.49846201023	191.701658731828	1	70.0753313006299
ABHD16A	1	1	535.587552096344	286.398796576179	NA	134.28435324618
ABHD16B	83.4629986839612	29.762207234895	NA	1	NA	40.2414570016207
ABHD2	NA	1	531.908925334207	92.4573937493923	NA	150.979268589486
ABHD5	1	1	NA	NA	1	2012.18759923918
ABHD6	NA	84.9219966710697	272.226638400436	252.598285736792	1	98.6462768952505
ABI1	NA	NA	NA	NA	NA	NA
ABI3BP	NA	27.6307139879836	NA	13.5721948655845	1	14.407438141887
ABL1	NA	158.086188308844	403.446207336247	273.471015957046	1	261.31262130803
ABL2	NA	NA	70.4347543616671	46.6943475932223	NA	54.6979133529804
ABLIM2	NA	NA	NA	NA	NA	NA
ABO	NA	174.942873383881	NA	NA	NA	107.266771990906
ABP1	NA	NA	NA	33.9062548099278	1	41.9192068985535
ABR	NA	567.887306217165	5357.13905500061	1880.18520488276	NA	1539.34738727177
ABTB1	NA	1	17052.8725213079	3474.93978098586	NA	9242.51274182674
ABTB2	118.037027654471	NA	NA	NA	1	137.019607830554
ACAA1	NA	611.850742949663	2852.59115975609	3374.47717072838	NA	2694.05061269053
ACACA	92.4927726299771	82.6493361078715	71.4745352217886	114.110218529265	1	61.1002244498563
ACACB	NA	NA	NA	NA	NA	NA
ACAD11	NA	53.690728307695	142.988622309455	120.268778142472	NA	NA
ACAD8	NA	74.6168927985204	126.44943320706	112.462045804219	3296.13994515123	37.0907466579551
ACAD9	NA	NA	NA	NA	NA	NA
ACADM	NA	NA	NA	154.620566056493	NA	NA
ACADS	NA	30.1835943076102	116.429623151705	100.883518301915	NA	20.6189782318076
ACADSB	NA	80.9956970293318	160.203315509054	79.6050716560466	NA	45.7192398614973
ACAP1	NA	1	1931.04733442424	932.602192421972	1	582.760609298305
ACAP2	NA	1	544.279672289935	280.962976587519	NA	374.379459829727
ACAT1	NA	51.0116217383226	52.4340451333218	135.491710299392	1	37.4876493829001
ACBD3	NA	NA	NA	78.3530527851949	NA	NA
ACBD4	4729.04985114762	920.180670372789	1	1	1	NA
ACBD5	76.1331134693942	36.9780273367093	70.0373447729876	67.5955992525139	NA	63.4031618592586
ACBD7	NA	31.2304711122159	NA	19.7665699109644	NA	14.648065567116
ACCN1	216.821304211065	46.2431267053741	NA	1	1	83.2905707452327
ACCN3	1	150.297051539544	1	NA	4728.48685869586	1
ACCN4	4193.44926973299	NA	1	NA	1	NA
ACCN5	NA	20.6650712855	NA	13.4705828025039	161.970233977203	18.6375456109631
ACCSL	NA	36.3270095182302	0	NA	NA	38.904199089127
ACIN1	NA	198.141315811241	697.907260002289	NA	1	418.026853781417
ACMSD	NA	NA	NA	NA	NA	NA
ACN9	1	1	444.372998552024	363.552732446846	NA	334.791141566562
ACOT12	5206.94145856032	NA	0	0	NA	NA
ACOT13	NA	425.241244698286	1	469.416431909431	22887.4572057372	NA
ACOT4	NA	NA	NA	64.7596729715367	7819.78243652148	NA
ACOT6	NA	27.5404875104461	NA	67.4445905429776	NA	NA
