Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM5532566_cy5	0.34529416588669	0	0.0309139792824335	0.205210387646498	0.0537003148400051	0	0.0806172692231776	0.0539609195464522	0	0.00339002923152299	0	0.154064782948033	0.0728481513951875	0	9999	0.234326954420255	1.02820297901222
GSM5532567_cy5	0	0.0546799450192452	0	0.0689938715031431	0	0.00795318193839348	0.09256819001102	0	0.0150094493917233	0.0038794469659873	0	0.103149357207537	0	0.65376655796295	9999	0.62024704583842	0.815621932428393
GSM5532568_cy5	0	0.0558704319886616	0	0.0374386102298944	0.0620150805052771	0	0.0428004628212133	0.00502357690712494	0.0301391814409865	0	0.0107492163840838	0.0439710360113373	0	0.711992403711421	9999	0.458476527468862	0.986103771916634
GSM5532569_cy5	0	0	0	0.0430834217538453	0	0.0521598926299965	0.0642638377121599	0	0	0.0455575598900409	0	0.110014918280929	0	0.684920369733028	9999	0.536472807938736	0.911331002891839
GSM5532570_cy5	0	0.0565515868727045	0	0.0772951974768154	0.0172746480095101	0.00393259419654025	0.0710219178104738	0	0.0321085977424794	0	0	0.0645985476533576	0	0.677216910238119	9999	0.636527612041338	0.801843898946649
GSM5532571_cy5	0	0.0962483269511138	0.0019698752959597	0.0449422518814887	0	0.0117228146582568	0.0140020981484234	0.0295930146955764	0.0449739956863588	0	0.0267554918955519	0.0385754949768037	0	0.691216635810467	9999	0.577324507315756	0.865937112170695
GSM5532572_cy5	0	0.0998707494092468	0.000144622274716928	0.0894272267658545	0.088175688654979	0	0.163860858057405	0	0	0.0653921454947933	0	0.204332319588126	0	0.288796389754878	9999	0.468226858736968	0.887432405447949
GSM5532573_cy5	0	0.126834630506801	0	0	0	0.0488170398933531	0.00497975437093354	0.000571539329374737	0.0332524486477025	0	0.0103345978814722	0.0320265853053168	0	0.743183404065046	9999	0.624284881321503	0.83549780654664
GSM5532574_cy5	0	0.0931181090983134	0	0.0720920323969556	0.0278828889075087	0	0.0308346679630426	0.0274935134130463	0.034019419229362	0	0.0145451334751709	0.0227655373459288	0	0.677248698170672	9999	0.588755524216205	0.848127311663475
GSM5532575_cy5	0	0.0619061561048564	0	0.205903441782126	0	0	0.0673632174881722	0	0	0.0883152014635509	0	0	0	0.576511983161294	9999	0.707570077911214	0.70768409153231
GSM5532576_cy5	0.0288181016002326	0	0	0.0219293863791101	0.0149900422276537	0	0.0668402744136756	0.0162474993224032	0	0.0762960251644747	0	0.0101445533510416	0	0.764734117541409	9999	0.617719812170503	0.843669468370471
GSM5532577_cy5	0	0.00407009864951107	0.00452040695508232	0.0365536468697668	0	0.0599641638184175	0.139907189432786	0	0	0.0744381645347903	0	0.093070070814897	0	0.587476258924749	9999	0.665292746544737	0.754072734128591
GSM5532578_cy5	0	0.0349992555689521	0	0.0524926945483659	0.00128662851625994	0	0.108122944762139	0.0159565788563512	0	0.0383673534196145	0	0.025064384116163	0	0.723710160212154	9999	0.645682814871326	0.799960082282201
GSM5532579_cy5	0	0.0155954261994405	0	0.0634479034405942	0.013207806878708	0	0.0711351872218882	0.0234299765259487	0	0.0646760989790628	0	0.0250445518440497	0	0.723463048910308	9999	0.6181324784494	0.830466583021673
GSM5532580_cy5	0	0.0819356929032412	0	0.0298453409624593	0.0343099085995948	0	0.0213608503670982	0.020478365882208	0.00879442945720776	0	0.0104524318443066	0.0549860137892403	0	0.737836966194644	9999	0.669684870738247	0.783544446934473
