"Mixture"	"B cells"	"T cells"	"NK cells"	"Monocytes"	"Eosinophils"	"Neutrophils"
"GSM5532520_cy5"	"0.108468401550315"	"0.22518131913866"	"0.111337803211603"	"0"	"0"	"0.555012476099423"
"GSM5532521_cy5"	"0.020631867228391"	"0.255339788577406"	"0.137061104530073"	"0"	"0"	"0.586967239664129"
"GSM5532522_cy5"	"0.0689373335129025"	"0.194394000603816"	"0.043569035787794"	"0.00255161691318441"	"0"	"0.690548013182303"
"GSM5532523_cy5"	"0.0594395110854475"	"0.298063512689487"	"0.0943334202639261"	"0.040736783801554"	"0"	"0.507426772159586"
"GSM5532524_cy5"	"0.0886487400512331"	"0.248456381061085"	"0.0184538168144189"	"0"	"0"	"0.644441062073263"
"GSM5532525_cy5"	"0.114988107603579"	"0.287775258985501"	"0.0680843168294628"	"0.108282839384584"	"0"	"0.420869477196873"
"GSM5532526_cy5"	"0.0415788736030549"	"0.355667140269492"	"0.157629073674414"	"0.0725914271300291"	"0.00377232252513886"	"0.368761162797871"
"GSM5532527_cy5"	"0.0890575024625555"	"0.247987629282278"	"0.102763916541349"	"0.134805746167382"	"0"	"0.425385205546436"
"GSM5532528_cy5"	"0.0504241588007684"	"0.39511368539754"	"0.00498234467380376"	"0.10066631934561"	"0"	"0.448813491782278"
"GSM5532529_cy5"	"0.081507888867476"	"0.637056576334507"	"0"	"0.0368294772704562"	"0"	"0.24460605752756"
"GSM5532530_cy5"	"0.0680408285551989"	"0.363062198494516"	"0.0525124874445482"	"0.0625626172750032"	"0"	"0.453821868230734"
"GSM5532531_cy5"	"0.0929494217607944"	"0.3374397684135"	"0.065904268540809"	"0.0905004652349639"	"0"	"0.413206076049933"
"GSM5532532_cy5"	"0.101337933175223"	"0.367785027931502"	"0.0193623077860794"	"0.142159940647387"	"0"	"0.369354790459809"
"GSM5532533_cy5"	"0.0857390328608742"	"0.259864307224653"	"0.0292340128868178"	"0.0578977360675739"	"0"	"0.567264910960081"
"GSM5532534_cy5"	"0.0813009126071063"	"0.286019781831806"	"0.0127886452502212"	"0.0485010616654704"	"0"	"0.571389598645396"
"GSM5532535_cy5"	"0.0286776806828468"	"0.401183664473748"	"0.022827355685548"	"0.0347948731583316"	"0"	"0.512516425999525"
"GSM5532536_cy5"	"0.034202346215413"	"0.332794999354124"	"0.0872394716968085"	"0.0221857621621513"	"0"	"0.523577420571503"
