GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
ABCC8	1	10.3659594353947	28.6969014882483	25.1770004411085	88.8274333748001	10.9231235281575
ABCC9	1	57.3382538839968	1	40.3725752444492	1	58.9587407262351
ABCD1	1	1	514.727132522275	1161.21344244938	1	1
ABCD2	131.879874050452	238.773506173824	77.9706467908436	1	1	1
ABCD3	2431.40729902602	3530.71157734108	1	786.025455365453	10301.8109646751	1851.05697045322
ABCD4	684.540490165739	822.846490042526	365.43070601483	632.173245671436	1	52.0103829774886
ABCE1	3037.93777145727	2867.66364275405	862.017089003784	365.480544674551	1	114.969407281105
ABCF1	2548.72373380759	1739.30430056332	2149.66154205752	1432.56067764464	1	1
ABCF2	2131.53783141795	624.725686592387	706.313490141891	919.173326829303	1	256.388564060409
ABCF3	709.958232295184	1	822.629690663748	643.950809947742	1	28.1709580457203
ABCG1	1	1927.47273101143	1	1	1	629.651283167147
ABCG2	343.548462539507	1	194.576982457251	1	418.662850131307	89.5668657463577
ABCG4	1	1	368.023253623287	126.821678382452	1	72.406254554599
ABCG5	1	1	1	21.7328890693278	478.74172444448	18.1510826838048
ABCG8	1	1	97.4756755727435	1	1	28.0049029594612
ABHD1	1	58.1124032182486	106.423565249726	105.344759453305	1	115.977994673532
ABHD10	796.508472241784	2052.00376370537	1485.03524660732	429.660462462376	1	379.733525996331
ABHD11	443.43926423603	240.986578751175	795.044082246912	529.081061556955	759.033864667452	278.518267321384
ABHD12	742.061009506913	96.7825480939531	686.776453726113	398.258504069034	1	45.0098840053751
ABHD13	1	445.424142608355	1	1	3855.71768634367	1453.20519590748
ABHD14B	1784.61278720072	1168.4251385152	1211.85527457079	894.286485113042	1	1
ABHD15	248.538391020442	415.85804722484	746.82256641942	296.942779198445	1	1
ABHD16A	1	1	1	3669.05783740081	1	996.679792899643
ABHD16B	1	1	23.1427753124868	6.09622138225039	1	7.01123083650337
ABHD17A	5384.97785091054	1	11878.1873432179	8336.03976081098	1	1
ABHD17B	2444.69192672334	5246.96957339261	1	1	8787.18087744288	2484.51304542856
ABHD17C	1	1	1	241.013912514929	918.832493269667	347.001990785944
ABHD2	1	1	5253.60992261808	3369.57216183814	7452.8140704782	3873.64824622123
ABHD3	7452.45851920728	6240.09794628184	1	1416.03653821979	1	11301.6285280296
ABHD4	1825.37671269312	1	1285.18058591512	1012.78411447154	1	910.831152226326
ABHD5	1	1	1	1207.20208395107	1	4614.29976165646
ABHD6	1	457.700263505458	670.930065768838	305.26114459791	1	69.2937702795684
ABHD8	1	1	1	425.060097827805	1	1
ABI1	1	4856.71889765793	1	1	19848.7408918795	8694.4099776781
ABI2	713.832316834816	1895.11101532747	1059.9346458136	163.464935300064	1	107.373939290045
ABI3	1	370.934716603148	1727.05975163264	704.184371170284	1	1
ABI3BP	351.499535413531	1	1	243.333022255699	1	1
ABL1	1008.53251859866	291.356472944682	1077.13996787242	982.367332090793	1	95.3452438057889
ABL2	579.305183657194	1	275.899437658569	783.246203310536	1	460.665939075759
ABLIM1	9222.2840977559	9691.11619992144	1	876.818244629807	1	1
ABLIM2	337.756817617892	1	334.713095248384	73.3563793429179	1	157.614920704877
ABLIM3	625.534734574721	0	250.076773835876	125.337964526701	197.303239907418	91.2118110436107
ABO	411.767189026208	1	1	186.004179260291	414.390429606881	144.760874706294
ABR	1792.19782803656	779.371182930197	3716.26432534623	3668.58313087198	1	1294.76037215626
ABRA	82.9355392132521	1	62.4211567575454	1	1	56.9718234446015
ABRACL	10474.4210141797	6934.67974520758	4865.90579936478	4469.93396249364	19742.5910950992	3264.31037320049
ABT1	1543.55649622484	205.67038844499	903.785756520411	1005.09880773154	1	1
ABTB1	1	1	1	8972.95486759534	1	3452.33952746758
ABTB2	1	1	554.697018648064	224.371425610158	1824.95436889463	173.156024927138
AC000111.3	1	1	70.6543226425312	1	1	19.3790935040571
AC002059.10	262.716432558249	1	356.826043058124	79.6669185947216	1	159.8576609914
AC002064.5	1	34.1407270990589	47.7914905867521	1	1	28.4694193148229
AC003973.4	1	29.9395610378375	69.3888530258104	1	1	46.5381447361592
AC003989.4	1	64.2116870660352	65.7909592963629	1	1	19.8065012837335
AC004692.5	905.392200212494	1803.3956638245	1	471.53188810975	1	172.293046747523
AC004941.5	1	380.264053238328	1	319.180214911578	1	1044.86364787065
AC005162.4	1	1	1	44.1948551137004	214.275613505149	55.4824848755239
AC005224.2	160.884529278513	198.499170130755	77.018427368556	47.7274719295186	1	30.9691885300024
AC005256.1	1	1	76.7235534297864	1	1	31.1315296652123
AC005306.3	1	408.372065005909	553.701972527441	220.456762666424	1	150.103948974102
AC005498.3	95.6852990661242	1	116.875986650696	1	1	51.7263142039695
AC005523.2	1	313.133899231162	289.89661882948	110.43477981202	625.294810615466	318.924263110604
AC005523.3	1	1	83.0881683099905	17.7853469346958	1	23.3645017034591
AC005537.2	1	1	48.0099643707835	8.88754772791325	1	14.4437505430737
AC005592.3	1	1	97.6139801329059	27.5242071208585	199.420877277049	41.993384197112
AC005606.14	1	41.7616277429595	50.4026350186696	1	1	31.164866601802
AC005785.2	209.111268863767	40.5454902497377	197.476216786116	79.2551305369891	1	85.052459984108
AC005838.2	1	48.9990250732102	60.0296673322223	1	1	29.3698997436407
AC006026.13	151.726915233457	143.192316439856	226.592058295174	36.5681545939591	1	38.8220381995669
AC006129.2	331.94130847441	701.399477166972	1	1	1	1
AC006538.1	88.5273932467949	1	118.002502074219	1	1	55.3237949992731
AC007292.3	1	75.1105995546236	510.997378808888	225.817430419589	1	119.72188260617
AC007349.5	1	29.516527694978	62.849415475173	1	1	23.2356779956327
AC007362.3	1	1	106.523575719973	42.0761938619119	1	46.8322275385942
AC007365.3	1	1	328.359004003655	188.171269138622	1	134.880438539046
AC007389.3	112.502472089231	1	203.76891092003	95.8144997300003	1	60.3915502343974
AC007401.2	1	264.518271081634	1	87.4047222287223	1	194.749881655232
AC007680.2	1	1	1	1	1	67.6480773359456
AC007787.2	32.4282812298881	10.9487267128024	27.9010229054694	22.0673500364239	78.2982436640603	17.6308994243965
AC008088.4	130.524181546473	1	205.862551115776	79.6203005502535	1	56.2372945295989
AC008746.12	184.861072507949	84.0661915198356	127.464311931312	75.3553876527441	1	27.6647422283456
AC008753.4	1	1	227.031406641252	73.2108517564366	1	98.663637002631
AC009120.6	1	607.231827012384	379.045445750035	140.964048147812	1	201.322273058149
AC009133.15	266.190762787123	106.079863470487	247.865938007639	129.097954610228	287.038991956376	121.024518139214
AC009502.4	248.330770222628	1	130.141890270674	78.5776415916758	496.751321042088	231.763906287426
AC010145.4	1	1	51.9112965924861	1	1	30.9223147504393
AC010524.4	210.500607224656	1	271.723927533811	117.853124533357	1	101.57081885194
AC012065.7	247.0577703511	236.220354174336	240.614819334957	1	1	81.1089195011856
AC012360.6	1	46.797855815782	100.992736545964	1	197.452139985856	64.5394666510933
AC012499.1	1	1	182.975891371794	1	1	39.3028624039115
AC012531.25	1	1	59.0426134054714	1	1	62.1061300349757
AC013463.2	1	33.6425968901052	65.4554962404631	1	1	47.6465172529097
AC013733.4	1	1	1	18.6306473904331	1	27.1369798525233
AC016831.7	1	1	1	107.227681666227	1	196.476281977033
AC016999.2	1	1	218.28196636063	77.0801607158245	1	50.1994841681474
AC017002.2	592.483548157092	229.554305596139	1	276.575932520148	1	564.233942164575
AC017104.6	573.508076878297	0	312.194261792044	114.338827485526	0	46.1036335023032
AC018755.16	564.786462436168	1	586.555679314193	499.531600421692	1	68.2923599200012
AC018755.17	1	1	1	1	1	24.8650116664673
AC018766.6	1	1	1	1	179.282129503072	55.5658241915042
AC018816.3	129.148965235762	133.948160116203	1	67.3236358774646	1	73.1646760794399
AC024560.2	1	1	184.411609524561	70.3274435295603	310.061797043578	84.3199036755496
AC025442.3	1	72.1239648997197	166.659014528367	92.8596771478673	1	48.1467321296354
AC064852.4	1	1	94.6410892837567	1	1	50.3870908944617
AC067956.1	1	28.9383670426582	1	1	1	29.7220095535676
AC068039.4	506.37313779435	456.061704061915	1	1	564.111396993125	170.46541950241
AC068138.1	1	1	269.987136450576	95.5734038926597	1	128.475256463416
AC068831.3	1	1	78.2813805230559	30.0998123335091	1	42.5579238938469
AC073283.7	419.7435426174	265.417512846283	1	206.745250687292	1	61.8435878733558
AC073321.4	123.928977700209	132.794836326654	1	65.9311722258428	1	108.351908751884
AC074212.6	202.90144489323	1	107.234129301315	64.7253635113626	1	65.949101070737
AC079305.10	116.435657461774	1	185.81533442764	41.1006898075164	359.070241956184	77.1508817927486
AC079741.2	89.0834031570895	1	180.469636404231	1	1	70.9062565533748
AC079767.4	1235.71457143077	470.232038862025	1	126.667218207135	1	1
AC079807.4	1	1	78.2729134932457	36.1066349911464	352.435759012843	65.1352774302522
AC083843.1	180.112577122078	193.385119090647	142.61012231544	70.7113263579242	1	15.1440243732764
AC083949.1	1	384.894280146079	1	1	506.349593126653	149.152150339351
AC084219.3	73.0010044305849	37.0431098983734	101.828029708757	13.4353895661715	1	26.7775860991908
AC087501.1	83.5298099980196	1	120.37936408863	1	1	32.7652030266643
AC090627.1	0	60.1506812926742	116.491284035047	0	0	19.2440684324177
AC091133.1	1	506.506804612933	206.707917449469	1	1	118.593205355954
AC091633.3	1	96.751968680037	63.7730905620493	21.9134086163621	109.774804820757	27.0420249238418
AC092192.1	80.5733992972798	1	99.5384699726991	1	1	69.8672122048673
AC092620.2	1	1958.28325246181	1	1	1	2695.07964049463
AC092660.1	1	1	221.358069269579	52.7937021575541	1	98.8090768844823
AC092667.2	1	34.631921468191	109.147354815349	1	1	27.2227518607648
AC100830.4	1	160.183482994138	73.5778617446809	76.9244690083139	1	32.0515605132015
AC104667.3	1	1	66.1652835526271	1	1	27.8362311091408
AC106801.1	1	1	197.318168141863	85.4254812623495	334.588127861082	151.880174948637
AC108056.1	1	1	55.4327723021342	1	1	29.0394600227847
AC112198.1	78.7620782265672	13.5255515634374	152.293716014945	19.8002630374971	20.1356170731651	22.4956620571688
AC114730.11	76.857014719285	16.9924339750752	51.196385294361	0	158.75833793338	18.6819984796233
AC114752.3	1	1	72.9885369539979	66.5055197754127	324.645342860281	38.344823733318
AC124997.1	1	1	75.3791482937695	18.716936274227	1	27.5276687397688
AC136289.1	1	1	186.637831811685	29.1712140383419	1	33.1611925657521
AC139100.3	1	1	43.5086269652122	1	83.7807244445101	20.9774224218401
AC141928.1	310.841493930176	1	179.173513534674	79.2362214622036	1	134.058561271989
AC144652.1	350.687772259211	293.571457896931	250.37977059826	171.152612735898	308.170685236281	114.47362329307
AC145343.2	1	1	154.075096508082	89.7702743448697	194.788082854591	48.7825847160297
ACAA1	1	839.371993364866	1	6615.72549186283	6164.65375878184	5135.60353796924
ACAA2	1842.73720494634	753.936961947789	2098.02530678485	1300.89248209347	1025.44334409361	1
ACACA	1459.98042074886	169.160865066871	735.653410567667	1038.27400120134	1184.16874326622	1
ACACB	893.606426708492	1	1155.07158647743	266.795181276942	1464.90829689327	586.709592768577
ACAD10	1	182.816760813393	468.121387919814	460.908645227912	1	67.040175576185
ACAD8	771.734362539688	1	1216.78465297192	1821.3071642193	1	129.753968083441
ACAD9	1115.89520331662	417.354194304959	1167.9340055561	832.394800902249	892.690379442625	88.21063438027
ACADL	58.8349094080401	27.9523836760966	71.2007697634495	47.6325193687108	48.4722798702097	12.8066332628618
ACADM	8047.64033493446	4710.31228614655	1625.38260095979	909.964897519645	7307.62364819019	1160.98428489244
ACADS	195.981368722155	1	568.269995579291	321.871743307709	1	59.6245412688898
ACADSB	1	1584.93443470217	508.006316640032	1	1	178.271769657392
ACADVL	2577.43930776923	1	2770.77169657903	6205.72472360023	1	1
ACAN	1	1	321.007076388245	53.6117671359038	211.880223445232	125.644546445448
ACAP1	1	1	1	13099.5758067177	1	1
ACAP2	1	6253.33347827115	8428.59962595993	1	33474.738872575	16413.3647225721
ACAP3	996.633819357623	1	1131.6545206706	824.73433332591	1	1
ACAT1	5384.91372716664	1080.16907864195	1037.65336071192	1777.33889184483	4282.78577418755	422.480060691531
ACAT2	1999.6916388912	778.362613011862	609.291089339487	831.115975731392	1992.11307145584	128.521112756301
ACBD3	2718.51721048343	4508.03910988239	1224.57447573183	364.551008548343	8493.66222710729	2743.36459411026
ACBD4	365.49425994822	1	512.170680163651	487.376916896639	1	107.716269525485
ACBD5	1	5386.5334263037	3800.39386250671	1067.03229899314	10864.9924508387	2625.52292679274
ACBD6	744.870589643732	1157.60698496084	419.730214272256	263.944974913525	1	81.986081997144
ACCS	1	934.08960013746	372.661218568368	139.700051710833	1	1
ACD	534.241260316574	882.364662010679	672.818204077125	545.908653775874	1	153.185364132822
ACE	1	1	94.3003078142492	1	1	45.6312139115889
ACE2	79.5254754273219	1	1	24.1018702200993	1	50.244558961513
ACER1	1	30.0624025047181	1	1	1	42.9488312401601
ACER3	1	1	1	4815.46702918665	21836.5216478958	4175.52091894138
ACHE	126.282013164686	0	50.5194436883122	79.4025504930618	59.3789645490637	34.9411221030707
ACIN1	1	1	871.808356717313	1849.44811372159	1	97.6706464317865
ACKR1	415.338584276472	0	0	105.410670634392	0	0
ACKR2	1	42.5759583628348	202.477019284736	46.631217821532	181.080921463174	53.0918764895401
ACKR3	1	811.466775281863	552.619489042989	130.341517692024	1	1
ACKR4	1	1	1	1	1	78.5997983841249
ACLY	4833.68264304772	5154.5034482684	2967.61836117294	5357.9167294582	15463.3990191074	2589.68978601322
ACMSD	1	1	1	1	1	48.5577549427548
ACN9	2439.27051532686	1	1	951.875348248052	1	1711.32030786882
ACO1	1324.48337077405	211.430472342913	576.469178511828	599.216439679771	891.486676401001	1
ACO2	3314.79169174492	639.395728264856	1599.4998752248	2166.55075680934	1	1
ACOT11	97.8860827338111	59.8604383770457	103.832055125228	1	1	60.2335126053761
ACOT12	1	22.8854422111221	57.0583335248714	17.3108021703697	106.815833911413	44.161624578343
ACOT13	1129.08372646001	1	1069.64619581183	575.060531420802	2165.83741675714	365.07562689624
ACOT4	1	124.788112309208	396.635753098457	48.6361740823883	1	1
ACOT6	0	0	63.7344328248905	7.09366607646782	0.96371727171934	13.3861814475988
ACOT7	1387.65596399164	1	954.208625325664	257.022499256391	990.45623248864	141.049911377064
ACOT8	824.811075884527	1	431.60735075428	1546.50457816815	1	257.3068695157
ACOT9	1	1	1	2783.62803201341	2392.71887698582	2179.34771219917
ACOX1	1	1	1	953.92656876451	1	6837.83479168681
ACOX2	1	1	1	391.041762715295	444.343609038931	59.8055322357695
ACOX3	498.560902968836	270.369636131449	457.948076195159	327.3801996679	1568.88495336707	161.936036141209
ACOXL	391.887744922544	1	124.91999569684	1	194.383790236824	122.061287040232
ACP1	3580.84876567943	3746.87143699684	2595.8416924167	1281.10834228574	1	216.92684076784
ACP2	1224.57219497679	1	986.213905093715	1114.45539089895	1	129.104258629177
ACP5	1786.70493138443	926.994387727877	463.536999297649	498.208725399231	1	1
ACP6	859.4815375977	1	1	1532.89707018829	4880.2024571701	767.01864844163
ACPP	1	1	1	1472.82992719438	12113.1979594495	1755.98577464992
ACPT	539.489719571884	1	321.697652825349	354.295871572634	1	342.352878703623
ACR	1	1	152.98011515873	21.9291147537046	267.356977356491	40.0711384265311
ACRBP	4930.60959257344	1	4645.99166157902	2256.11253281066	1	1605.15961613736
ACRC	1300.30035557039	458.0369765843	1	347.251694813055	1	517.341629954501
ACRV1	1	1	279.392095263982	70.3276342013389	1	110.469437119112
ACSBG1	169.161846773264	1	249.963279920919	1	280.753779123119	91.2363501400168
ACSBG2	1	32.1937319847041	105.467680266543	28.6282227646266	1	73.4156086474792
ACSF2	513.04979440897	494.750184292194	181.275470377433	184.504420689854	599.737887516338	29.8293835858373
ACSF3	562.97611206689	116.834893155039	401.278698857463	339.1778944005	1	45.1414478448562
ACSL1	1	1	1	10389.1416478765	1	65115.1775701725
ACSL3	1	1320.53558339854	1	975.815578672155	7535.9618099336	3084.64047343157
ACSL4	1	1	1	1850.49275434771	1	4229.86168280109
ACSL5	2724.11697302292	1324.7044052159	1203.68667577821	1145.98265000289	3569.77580041932	386.808192331217
ACSL6	616.252643401493	967.645572963088	1	1	1	1
ACSM1	1	1	80.2610546730926	16.3645595242031	1	41.6074051067428
ACSM2A	1	1	1	1	1	53.0947697106406
ACSM2B	1	1	1	1	1	49.3610237263294
ACSM3	189.970633948641	215.107538726887	115.509519388115	119.592494197401	366.758002031935	25.6447407504436
ACSM5	245.004083767582	1	94.2103665995548	90.5259632073492	1	62.2358751756311
ACSS1	1684.96607706581	802.239823733288	926.235685468277	455.589927770856	703.740092464705	1
ACSS2	1	1	1	2357.60776034892	1826.03532960033	670.354938856392
ACSS3	333.266509042309	1	188.796093118803	177.776598325298	1	53.7154184007825
ACTA1	0	71.321579601432	0	143.87372322239	0	73.7518512878741
ACTA2	2179.16032435979	1	1	1305.09499671298	1	302.950559872799
ACTA2.AS1	1	1	271.180163263929	33.1685729881487	164.095006222272	58.8137821120133
ACTB	1	1	125031.426669128	116253.943097297	1	23868.3687250368
ACTC1	337.04381703769	1	1	472.371416875799	1	150.462317299602
ACTG2	323.063906891034	1	1	389.880336067628	1	1
ACTL10	355.478934679732	1	370.171841997063	105.703919326332	1	1
ACTL6A	3209.62474862845	2700.18242447705	1	345.405351927182	3143.93636736551	549.987852381068
ACTL6B	15.9192424946453	10.4481572881942	38.2245371072792	11.8698036157576	29.7730042766315	8.97693741233908
ACTL7A	1	1	1	25.2133219482277	1	46.4014291483571
ACTL7B	1	1	38.4399338052885	25.0029969677002	1	16.0303999326044
ACTL8	132.004102500438	1	1	59.3111969891987	1	60.1177377785994
ACTL9	1	1	1	84.8213443306931	1	27.7141729357502
ACTN1	1	1	12378.9374026028	12085.1478416536	54202.5235227634	32315.2735851758
