"Mixture"	"B_cells"	"T_cells"	"NK_cells "	"Monocytes"	"Eosinophils"	"Neutrophils"
"GSM493655"	"0.0378953328390199"	"0.129542435960047"	"0.0523593092401409"	"0.193373646726126"	"0"	"0.586829275234666"
"GSM493656"	"0.0482332728394649"	"0.122790210263037"	"0.0621670041982565"	"0.326689205501697"	"0"	"0.440120307197544"
"GSM493657"	"0.0130986710932798"	"0.0877849574934108"	"0.0556748568053943"	"0.164688167178973"	"0.00507320682650349"	"0.673680140602438"
"GSM493658"	"0.00372886071304967"	"0.20580289534999"	"0.089007277016376"	"0.12336120504829"	"0.0613701865212394"	"0.516729575351055"
"GSM493659"	"0.0570685197016604"	"0.102627288211202"	"0.0712302803682379"	"0.292059799081333"	"0"	"0.477014112637566"
"GSM493660"	"0.0236382650899641"	"0.113655472390302"	"0.0862447128027573"	"0.292649195561846"	"0.0194023367291827"	"0.464410017425948"
"GSM493661"	"0.0367972695473993"	"0.150608993405574"	"0.0556226288343277"	"0.136737633393358"	"0"	"0.62023347481934"
"GSM493662"	"0.005540398712294"	"0.107664637029599"	"0.02681892736109"	"0.332049597778266"	"0"	"0.527926439118751"
"GSM493663"	"0.0307956846129105"	"0.171966474619121"	"0.0983638671943448"	"0.238312699365552"	"0"	"0.460561274208071"
"GSM493664"	"0.0189898604582301"	"0.100628649855084"	"0.100627791264473"	"0.211279127845339"	"0.0517605552265899"	"0.516714015350284"
"GSM493665"	"0.0321440244395437"	"0.0898301309865636"	"0.0660774426961618"	"0.295452057199675"	"0"	"0.516496344678055"
"GSM493666"	"0.0779953405685265"	"0.166214988391966"	"0.102788133811877"	"0"	"0.0368902009303413"	"0.616111336297289"
"GSM493667"	"0.0221399872592219"	"0.139585126979778"	"0.127481962201234"	"0.230502191318754"	"0.0509575720551364"	"0.429333160185876"
"GSM493668"	"0.0323715447132769"	"0.0548286087263083"	"0.0593320338087823"	"0.276877061392018"	"0.0120912442804114"	"0.564499507079203"
"GSM493669"	"0.018009734870945"	"0.293692779827227"	"0.110237215379453"	"0.231362547460197"	"0.0289171640844246"	"0.317780558377753"
"GSM493670"	"0.0575892378549242"	"0.175406483318902"	"0.10324595968331"	"0.144649118773714"	"0.00344687537448876"	"0.515662324994661"
"GSM493671"	"0.00438570910148333"	"0.0704890458893692"	"0.0566241527893026"	"0.226046493135662"	"0"	"0.642454599084183"
"GSM493672"	"0.0509148738776767"	"0.0331781458421363"	"0.108083786796127"	"0.211823867451798"	"0"	"0.595999326032262"
