GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
AANAT	0.449529310420629	1	0.319724200864473	0.0645002963601717	0.00561259268509718	2.80581697410188e-12
AAR2	0.00037453299787286	5.83174290559369e-28	1.15581059970292e-07	1.8888096379121e-37	1	0.000433730719151783
AARS	2.54247662831885e-27	0.0387581248464358	0.000245254089263868	5.5637669927705e-33	1	0.155722624956164
AARS2	0.00182124508353254	4.47598192596365e-23	3.72126821577258e-05	6.03335808683852e-18	1	1
AASDH	0.00747204974680118	1.29518392854348e-48	0.264630470765793	2.65571981998627e-24	0.368821769508857	2.00692919468117e-16
AASDHPPT	0.0242185526593501	6.84512482240168e-46	0.474394459356142	4.48231481808339e-07	0.00190594167563173	2.71647579788945e-34
AASS	0.527964732942778	1.38673025127839e-22	1	0.001010397392385	0.639163349370051	0.000190886270653895
AATF	0.0149550805338115	3.02949156651588e-13	8.61373546913058e-08	9.50563332458753e-64	1	2.15220343556593e-26
AATK	1	1	1	2.83321431892573e-23	1	1.04120018710926e-45
AB488780	0.883615831388858	9.90354715525556e-30	0.0065334876597639	0.343519305408419	1	0.000106429521958225
ABAT	1	8.50032466077449e-11	1	1	2.12543116421057e-08	6.07866111012216e-55
ABCA1	1	0.000272107772810523	1	1	0.0731881134981396	4.1277369306265e-52
ABCA11P	0.224172536440355	7.94855430041572e-34	0.291018624178737	0.000166340627683647	0.0151600660163402	0.00863298712524432
ABCA12	0.898907406628908	1	0.00345827066187555	0.639394702001445	0.157845272738587	5.46485347331566e-09
ABCA13	0.106337987881061	1	1	0.332627223896141	8.43890825902392e-08	0.000657126675104379
ABCA17P	1	3.10261628735178e-13	0.000290199907483364	0.939822226438427	0.604491295290879	7.5405326701251e-12
ABCA2	1	1	0.35477025086402	7.29008547531544e-27	1	4.17452455790533e-08
ABCA3	0.0285837550257601	0.00221296900577357	0.428899439960296	5.92037876221407e-06	1	0.0111953816587627
ABCA4	1	1	0.532244328385406	0.00494576944270168	1	5.38291829207256e-14
ABCA5	1	1.04115982924489e-41	0.0936270399940064	0.00709646343269238	0.0379432551015997	2.49299277680718e-34
ABCA6	1.86732177079044e-05	1	0.000551003262917068	3.40445869747151e-05	0.555743445242483	8.29663153095029e-05
ABCA7	1	1	0.0522287023953693	5.57963531365638e-30	1	0.102725711204787
ABCA8	1	0.494405857232647	1	0.190513131424922	1	2.1806617494265e-17
ABCA9	0.0296148865267243	0.668103478091732	0.622457071691018	3.78895638585321e-06	1	0.118268818434405
ABCB1	1	5.61609805800694e-23	3.8417871828905e-07	1	1	1
ABCB10	8.33457594793571e-05	1.35749032320479e-22	0.00419685056653086	0.000392801312625729	2.43627929811696e-14	6.00376940490296e-23
ABCB11	1	0.11365220139163	0.151415867661292	0.00809326212008659	0.0519163829110366	2.27106835518433e-13
ABCB4	9.38925369582336e-18	2.37097307180318e-12	1	0.0110736257991281	1	1
ABCB5	0.334581403170553	1	0.189362234065774	0.0701843720360614	0.36892278604664	1.39684211950472e-29
ABCB6	1.20397724783543e-11	1	0.483887594353098	4.25891352338286e-08	1	1.56168982409897e-07
ABCB7	0.00604625762816769	1.59934746818527e-43	0.027343045478083	1.10012844615668e-15	1	3.48515461131714e-06
ABCB8	2.02874932109362e-07	4.97003573901806e-05	0.0094791480002403	1.09523181140335e-09	1	5.66970595213314e-30
ABCB9	1	0.00414959991589642	0.0382989181596434	1	1	1.63642336676261e-30
ABCC1	0.277552241796114	1.28388874155621e-24	3.9106835846445e-08	1.66141136417153e-15	1.40672484577936e-20	1.78999476586676e-11
ABCC10	0.461462676249305	9.98799712162322e-16	0.401847101412432	1.36960083311125e-10	1.89130326566582e-11	1.57696499823163e-05
ABCC11	1	1	0.0804844954359552	0.0235502463726313	0.0712662757289267	2.32747829490106e-17
ABCC12	1	0.571934623819188	0.00152308855376378	0.17526415637686	1	1.94860346306502e-05
ABCC13	0.0235387991291176	1	1	0.468834127396037	0.0349919193721424	1.82056056442626e-09
ABCC2	0.429813033711588	1	1	1.98852933481601e-07	0.603963989874714	7.20422340049185e-23
ABCC3	0.124555196527751	0.600168032729492	0.00838402312597582	0.0871643073584784	2.39857197349983e-07	1.03284205224178e-14
ABCC4	0.0151091884492929	0.0243979084381984	0.600171984523498	1	1.57242625858081e-06	1.65406752793279e-15
ABCC5	1	2.35664799375533e-08	0.20464424385513	2.2966801323159e-10	0.0985727380085996	1.46010006864518e-78
ABCC6P1	1	0.874840616348716	0.127962426269828	0.0151193621663508	0.00995588522347588	2.40330933211834e-19
ABCC8	0.284892770204107	0.173474371317536	0.0687148746490824	9.01577101638362e-08	0.00186862893379499	2.31547510801931e-06
ABCC9	1	0.00273309153946226	0.340633384213763	0.00359478223764053	0.713140304492074	3.62856152345464e-18
ABCD1	1	1	0.0677587545157502	8.80484006033418e-41	1	0.521869168754377
ABCD2	0.0831389709330694	3.96617703800553e-27	0.158192705685709	0.96470090746973	1	0.398910609100544
ABCD3	0.0769998114507339	6.91156693373004e-19	1	0.00933357962811919	8.2958190204139e-10	1.10100439800121e-34
ABCD4	0.00206104044861062	7.89301198236629e-31	0.0350037811245067	1.01006007664018e-32	1	0.0440290204183575
ABCE1	1.53602854867876e-06	2.20492852665477e-40	0.0982324696827845	0.0223430791129387	1	0.139681629540304
ABCF1	1.40340086517642e-06	3.8158171939051e-23	4.51116134624831e-07	8.92889430494676e-28	1	1
ABCF2	7.72259176671869e-15	1.30292507924039e-11	0.00185606221251665	9.25329159669372e-39	1	5.21554414055687e-14
ABCF3	0.000149705367050081	0.494561901638697	2.791387809357e-08	2.21008247308015e-43	0.793427749145183	0.217586298932858
ABCG1	1	9.57899107636349e-18	0.553632931318003	1	1	2.81617916758277e-14
ABCG2	0.00305549149610897	1	0.0304344228284083	0.963868183198569	0.0143005164142404	2.08431007640033e-11
ABCG4	0.715053346917965	1	1.86002307506341e-06	6.45947433186049e-08	1	3.9758069496467e-10
ABCG5	1	1	0.275599588840472	0.0789439969689967	8.4364873143084e-13	0.001712953754111
ABCG8	0.491283049403381	1	0.00694785046508981	0.597520876518505	1	1.81136265548328e-07
ABHD1	0.458384522292062	0.119302525206827	0.191610142228863	1.06936187893772e-05	0.394776412268914	3.01950600063499e-22
ABHD10	0.122616332173561	1.58275375415515e-42	2.74828936151555e-05	7.27510007005189e-05	0.51717774257388	9.80413917782219e-13
ABHD11	0.0133940800279042	1.45538869472296e-05	2.90642561514039e-09	9.1446660188369e-37	0.00219108582703463	3.31020047758944e-40
