GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
AAR2	5.47401033603141e-05	8.14908983252205e-29	4.74493476396167e-09	1.51505995892557e-38	1	0.000336889895919325
AARS	1.00971133703727e-29	0.0175310936444627	4.26204958791334e-05	5.69608470236537e-34	1	0.136673480023867
AARS2	0.000318581222647021	7.79860531362772e-24	4.44730646151902e-06	1.17351670569217e-18	1	0.972953272977985
AASDH	0.00159723473922617	1.5789820232532e-50	0.188302513231591	3.99308415325574e-25	0.143390001269687	7.51057686155448e-17
AASDHPPT	0.00630208008475814	1.52991937845413e-47	0.370248938239582	1.57869384056901e-07	0.000263953779045003	4.89605404717734e-35
AASS	0.286839301919732	2.45903678822859e-23	1	0.000503402330475262	0.301414736724403	0.000145806963882987
AATF	0.00358079393063093	7.63829029703208e-14	3.31171898995396e-09	7.2867011400671e-66	1	5.03389997743774e-27
AATK	1	1	1	4.44705401525215e-24	0.625685567599416	1.41695541510551e-46
AB488780	0.573217972724575	1.26864187525647e-30	0.00229388624692611	0.267375566504683	0.809246030193208	8.0287816703282e-05
ABAT	1	2.3359700787933e-11	0.922096672174734	1	7.76363911748123e-10	6.67235163184501e-56
ABCA1	1	0.000101454544339513	1	1	0.0188048332257515	4.86255225584309e-53
ABCA11P	0.0941928381007063	7.85862607120298e-35	0.210116656154909	7.54159447055204e-05	0.00286329577496335	0.00712645014319406
ABCA12	0.587870085092523	1	0.00105946460632733	0.53041267267393	0.0486546846238776	3.21279379213954e-09
ABCA13	0.0371630520565167	1	1	0.258160505750286	3.58132380052781e-09	0.000514686009533381
ABCA17P	1	7.83140181328324e-14	5.23981361468461e-05	0.812478276572365	0.279732499196947	3.7070658418911e-12
ABCA2	1	1	0.264343993190936	9.75602295426652e-28	1	2.58394491683967e-08
ABCA3	0.00763597427033119	0.000878749502685152	0.329195917413072	2.30062282539974e-06	0.780611469068157	0.00929286471097947
ABCA4	0.917529707816322	1	0.423263891901412	0.00272788133103804	0.856232830338439	2.32667352638186e-14
ABCA5	1	4.58677662017837e-43	0.0556228062582726	0.00402193007201263	0.00853482316323676	4.48865335339238e-35
ABCA6	1.96174418312088e-06	0.932838455748571	0.000113762899492136	1.42797036938969e-05	0.249167079651779	6.21701407770632e-05
ABCA7	0.890885273473031	1	0.0278352091593146	6.54972660693351e-31	1	0.0893151554173969
ABCA8	0.937773928295299	0.27806124420581	1	0.140410509237671	1	7.76096056468716e-18
ABCA9	0.00796369340125923	0.392994786605056	0.505697864800743	1.44367024427037e-06	0.690843713633865	0.103145920339514
ABCB1	0.823662843564651	9.82914414215946e-24	1.9302075525213e-08	1	1	1
ABCB10	1.03271982064202e-05	2.40655984797192e-23	0.00133744935394271	0.000185961628124635	1.66506273895779e-16	1.62300005062581e-23
ABCB11	1	0.0553959356124987	0.0981004213016819	0.00463022047590639	0.0124330806638945	1.01728760310727e-13
ABCB4	1.2053625155571e-19	6.16201175160854e-13	1	0.00647593614039057	1	1
