Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM493655	0.0286808321586155	0	0.00921450068040436	0.00209951079856361	0.0432123654283415	0.065822238982868	0.0184083207502742	0	0	0.0523593092401409	0	0.193373646726126	0	0.586829275234666	9999	0.778698137761573	0.630056023110313
GSM493656	0	0.0312246521792443	0.0170086206602206	0	0.0331303667728934	0.0723289748243187	0.017330868665825	0	0	0.0621670041982565	0	0.326689205501697	0	0.440120307197544	9999	0.65633972686416	0.757188949259401
GSM493657	0	0.0107856751579435	0.00231299593533633	0	0.0195158729604592	0.0441426171976321	0.0241264673353195	0	0	0.0556748568053943	0	0.164688167178973	0.00507320682650349	0.673680140602438	9999	0.758830255932383	0.66917824623008
GSM493658	0	0	0.00372886071304967	0.0474144871145617	0.00292552589346602	0.0905360736094041	0.0649268087325581	0	0	0.089007277016376	0	0.12336120504829	0.0613701865212394	0.516729575351055	9999	0.719711727951915	0.695097292574718
GSM493659	0.0257919643024747	0.00574198765391747	0.0255345677452682	0	0.0179184083710973	0.0719680021553959	0.012740877684709	0	0	0.0712302803682379	0	0.292059799081333	0	0.477014112637566	9999	0.757003315835671	0.653836846635078
GSM493660	0.00847231875413247	0	0.0151659463358316	0.0330148742954431	0.0522750464330278	0.00206924294707025	0.0262963087147604	0	0	0.0862447128027573	0	0.292649195561846	0.0194023367291827	0.464410017425948	9999	0.740745261092421	0.671984791401351
GSM493661	0.0270394158134994	0	0.00975785373389985	0	0.122912395846134	0.0192564819773044	0.00844011558213555	0	0	0.0556226288343277	0	0.136737633393358	0	0.62023347481934	9999	0.83968036162069	0.545474440640053
GSM493662	0.00376255696989841	0	0.00177784174239559	0	0.0462412297898559	0.0376410465159459	0.0237823607237973	0	0	0.02681892736109	0	0.332049597778266	0	0.527926439118751	9999	0.795654120267334	0.606665165033014
GSM493663	0	0.0181370898618803	0.0126585947510302	0.0592679015307922	0.0655603480308496	0.0293675351943146	0.0177706898631648	0	0	0.0983638671943448	0	0.238312699365552	0	0.460561274208071	9999	0.807963591779928	0.597821737272949
GSM493664	0.00181828829160488	0	0.0171715721666252	0.00709013548653623	0.0533223562102351	0	0.0402161581583126	0	0	0.100627791264473	0	0.211279127845339	0.0517605552265899	0.516714015350284	9999	0.7287735726063	0.68619843397423
GSM493665	0	0.0262083066801218	0.00593571775942188	0	0.0117554703906614	0.0628907155355001	0.0151839450604021	0	0	0.0660774426961618	0	0.295452057199675	0	0.516496344678055	9999	0.787752858098451	0.61660965772589
